title,price,original_price,rating,reviews,stock,asin,link
Razer Basilisk V3 X HyperSpeed Gaming Mouse - Optical - Wireless - Bluetooth/Radio Frequency - 2.40 GHz - Black - USB - 18000 dpi - 7 Button(s) - 7 Programmable Button(s) - Right-handed - 1 x AA Batte,PEN 170.56,PEN 243.68,4.4,N/A,In Stock,B0BXBC26X8,https://www.amazon.com/dp/B0BXBC26X8
"SOLAKAKA SM600 White Wireless Gaming Mouse,Tri-Modes BT5.1/Type-C Wired/2.4G Wireless Mouse with 2 Side Buttons, Programmable Macro Gamer Mouse with RGB Light for Laptop/PC/Mac",PEN 98.53,PEN 117.99,4.3,N/A,In Stock,B0BYJ7N7LX,https://www.amazon.com/dp/B0BYJ7N7LX
Razer Viper V3 Pro Wireless Esports Gaming Mouse: Symmetrical - 54g Lightweight - 8K Polling - 35K DPI Optical Sensor - Gen3 Optical Switches - 8 Programmable Buttons - 95 Hr Battery - Black,PEN 452.57,PEN 557.02,4.6,N/A,In Stock,B0CW25XR5R,https://www.amazon.com/dp/B0CW25XR5R
Razer Viper V3 HyperSpeed Wireless Esports Gaming Mouse: 82g Lightweight - Up to 280 Hr Battery - 30K DPI Optical Sensor - Gen-2 Mechanical Switches - 8 Programmable Controls - Classic Black,PEN 174.05,PEN 243.68,4.5,N/A,In Stock,B0CF4DJM7F,https://www.amazon.com/dp/B0CF4DJM7F
Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,PEN 69.60,PEN 104.41,4.5,N/A,In Stock,B094PS5RZQ,https://www.amazon.com/dp/B094PS5RZQ
Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,PEN 132.27,PEN 132.27,4.6,N/A,In Stock,B09C13PZX7,https://www.amazon.com/dp/B09C13PZX7
"Philips SPK9418 Wireless Gaming Mouse, Adjustable 12000 DPI Bluetooth Mouse for Gaming, Wired/2.4Ghz/Bluetooth Ultra-Lightweight with 5 Programable Buttons, Rechargeble Battery",PEN 173.91,PEN 173.91,4.8,N/A,Only 13 left in stock - order soon.,B0FVXJ6BKT,https://www.amazon.com/dp/B0FVXJ6BKT
"UtechSmart Venus Pro RGB Wireless MMO Gaming Mouse, 16,000 DPI Optical Sensor, 2.4 GHz Transmission Technology, Ergonomic Design, 16M Chroma RGB Lighting, 16 programmable Buttons, Up to 70 Hours",PEN 167.08,PEN 167.08,4.4,N/A,In Stock,B07XP4K152,https://www.amazon.com/dp/B07XP4K152
Razer Cobra Wired Gaming Mouse: 58g Lightweight - Gen-3 Optical Switches - Chroma RGB Lighting Underglow - 8500 DPI Optical Sensor - 100% PTFE Mouse Feet - Speedflex Cable - Pokemon Gengar Edition,,,4.6,N/A,,B0FQL6QDKD,https://www.amazon.com/dp/B0FQL6QDKD
"DAREU Sakura Pink Wireless Gaming Mouse with Charging Dock Rechargeable RGB,12K DPI,6 Programmable Buttons High-Precision Sensor [300IPS] [1000Hz] for PC Notebook Mac",PEN 191.45,PEN 191.45,4.4,N/A,In Stock,B0BYDJ9LW5,https://www.amazon.com/dp/B0BYDJ9LW5
"GravaStar Mercury X Pro Wireless Gaming Mouse, Come with 8K Dongle – 32,000 DPI PAW 3950 Sensor, 8,000Hz Polling Rate, Only 49g, Magnesium Alloy Hollow Frame, RGB Lighting, 5 Programmable Buttons",PEN 487.25,PEN 487.25,4.6,N/A,In Stock,B0DRJ8FC3B,https://www.amazon.com/dp/B0DRJ8FC3B
"Corsair NIGHTSWORD RGB Gaming Mouse for FPS, MOBA - 18,000 DPI - 10 Programmable Buttons - Weight System - iCUE Compatible - Black",PEN 243.68,PEN 348.13,4.5,N/A,In Stock,B07QX9C9WH,https://www.amazon.com/dp/B07QX9C9WH
"Logitech M705 Marathon Wireless Mouse, Gaming Mouse Wireless, 2.4 GHz USB-A Receiver, 5-Programmable Buttons, 3-Year Battery, PC, Mac, Laptop, Chromebook - Black",PEN 135.75,PEN 135.75,4.4,N/A,,B087Z733CM,https://www.amazon.com/dp/B087Z733CM
Razer Basilisk V3 35K Wired Ergonomic Gaming Mouse : HyperScroll Tilt Wheel - 35K DPI Optical Sensor Gen 2-13 Customizable Controls - Chroma RGB - Optical Switches Gen 3 - Speedflex Cable,PEN 205.38,PEN 278.49,4.7,N/A,In Stock,B0DG7LDR38,https://www.amazon.com/dp/B0DG7LDR38
